feature,scores
fanca_mut,0.13928407901493253
fancd2_mut,0.09360254325895415
fbxw7_mut,0.02265872294989357
flt3_mut,0.038527258856091214
foxo1_mut,0.009205458615483325
foxo3_mut,0.050834134403763526
foxp1_mut,0.050846924502013925
frmd3_mut,0.010168721284414595
gata3_mut,0.02348405494264063
gh1_mut,0.05401342783984488
gldc_mut,0.1509244315723751
gpr32_mut,0.018518780396211736
gps2_mut,0.007285826379565861
hdac9_mut,0.0136795821131584
her2_status,0.005435531451659962
her2_status_measured_by_snp6,0.12337131232260728
herc2_mut,0.14314588431223155
hist1h2bc_mut,0.018439913205586262
hormone_therapy,0.04821296013770207
hras_mut,0.038242917859751764
inferred_menopausal_state,0.013231712969665037
integrative_cluster,0.5193507335494201
jak1_mut,0.013973432733464432
kdm3a_mut,0.09102336619562341
kdm6a_mut,0.01587926577886455
klrg1_mut,0.017026469124087344
kmt2c_mut,0.007969928578941124
kmt2d_mut,0.03155580793138119
kras_mut,0.017963981250826076
l1cam_mut,0.011943671315241277
lama2_mut,0.07090581428347864
lamb3_mut,0.04063126144060122
large1_mut,0.007027113506415591
ldlrap1_mut,0.014947357325683032
lifr_mut,0.11970501933584138
lipi_mut,0.035968255951523975
lymph_nodes_examined_positive,0.018700807635646688
magea8_mut,0.009652087506770044
map2k4_mut,0.07401848599362858
map3k10_mut,0.09087670744020153
map3k13_mut,0.026403029036777822
map3k1_mut,0.03733191659776092
mbl2_mut,0.028712738138777436
men1_mut,0.04917773741310588
mtap_mut,3.079288354841324e-05
muc16_mut,0.11304424948274654
mutation_count,0.0022116771572403995
myh9_mut,0.06078652206040115
myo1a_mut,0.07848788097753176
myo3a_mut,0.01819170797437631
ncoa3_mut,0.014444708610407584
ncor1_mut,0.011860381295184543
ncor2_mut,0.0293151632036007
ndfip1_mut,0.0
nek1_mut,0.04524069652871504
neoplasm_histologic_grade,0.09107016848131029
nf1_mut,0.015019834695348195
nf2_mut,0.015575628855058327
notch1_mut,0.025480268160273094
nottingham_prognostic_index,0.03796322954784853
npnt_mut,0.009615713969858147
nr2f1_mut,0.022221374542868644
nr3c1_mut,0.011023874890149277
nras_mut,7.313371756098006e-05
nrg3_mut,0.016600987336944723
nt5e_mut,0.04548620784650318
oncotree_code,0.06178844138776256
or6a2_mut,0.019155266451517154
palld_mut,0.0192217522184
pam50_+_claudin-low_subtype,0.35486643452329114
